code,vowel,prec_sound,foll_sound,prec_boundary,post_boundary,lexical_category,voice,stressed_syllable,word,prec_word,foll_word
581,ih,t,n,word,x,function,creaky,y,in,sat,the
582,ih,m,d,x,x,noun,modal,y,middle,the,of
583,ih,b,g,x,x,adjective,modal,y,big,a,fresh
584,ih,t,n,word,x,function,creaky,y,in,sat,the
585,ih,m,d,x,x,noun,modal,y,middle,the,of
586,ih,b,g,x,x,adjective,modal,y,big,a,fresh
587,ih,t,n,word,x,function,creaky,y,in,sat,the
588,ih,m,d,x,x,noun,modal,y,middle,the,of
589,ih,b,g,x,x,adjective,modal,y,big,a,fresh
590,ih,t,n,word,x,function,creaky,y,in,sat,the
591,ih,m,d,x,x,noun,modal,y,middle,the,of
592,ih,b,g,x,x,adjective,modal,y,big,a,fresh
593,ih,t,n,word,x,function,creaky,y,in,sat,the
594,ih,m,d,x,x,noun,modal,y,middle,the,of
595,ih,b,g,x,x,adjective,modal,y,big,a,fresh
596,ih,t,n,word,x,function,creaky,y,in,sat,the
597,ih,m,d,x,x,noun,modal,y,middle,the,of
598,ih,b,g,x,x,adjective,modal,y,big,a,fresh
599,ih,t,n,word,x,function,creaky,y,in,sat,the
600,ih,m,d,x,x,noun,modal,y,middle,the,of
601,ih,b,g,x,x,adjective,modal,y,big,a,fresh
602,ih,t,n,word,x,function,creaky,y,in,sat,the
603,ih,m,d,x,x,noun,modal,y,middle,the,of
604,ih,b,g,x,x,adjective,modal,y,big,a,fresh
605,ih,t,n,word,x,function,creaky,y,in,sat,the
606,ih,m,d,x,x,noun,modal,y,middle,the,of
607,ih,b,g,x,x,adjective,modal,y,big,a,fresh
608,ih,t,n,word,x,function,creaky,y,in,sat,the
609,ih,m,d,x,x,noun,modal,y,middle,the,of
610,ih,b,g,x,x,adjective,modal,y,big,a,fresh
611,ih,t,n,word,x,function,creaky,y,in,sat,the
612,ih,m,d,x,x,noun,modal,y,middle,the,of
613,ih,b,g,x,x,adjective,modal,y,big,a,fresh
614,ih,t,n,word,x,function,creaky,y,in,sat,the
615,ih,m,d,x,x,noun,modal,y,middle,the,of
616,ih,b,g,x,x,adjective,modal,y,big,a,fresh
617,ih,t,n,word,x,function,creaky,y,in,sat,the
618,ih,m,d,x,x,noun,modal,y,middle,the,of
619,ih,b,g,x,x,adjective,modal,y,big,a,fresh
620,ih,t,n,word,x,function,creaky,y,in,sat,the
621,ih,m,d,x,x,noun,modal,y,middle,the,of
