filename,interval_label,start,end,steptime,stepnumber,f0,jumpkilleffect
BF2_mono.mat,BF2_mono.mat_107.246_1545.904,107.246,1545.904,1340.3814285714286,18,222.87745783347083,1
BF2_mono.mat,BF2_mono.mat_107.246_1545.904,107.246,1545.904,1408.8889523809523,19,196.68894132373217,1
BF2_mono.mat,BF2_mono.mat_107.246_1545.904,107.246,1545.904,1477.3964761904763,20,166.97714791514787,1
BF2_raising.mat,BF2_raising.mat_78.65_3440.356,78.65,3440.356,238.7312380952381,1,194.5292721401405,1
BF2_raising.mat,BF2_raising.mat_78.65_3440.356,78.65,3440.356,398.8124761904762,2,329.40659495746814,1
BF2_raising.mat,BF2_raising.mat_78.65_3440.356,78.65,3440.356,558.8937142857143,3,282.7232875484472,1
BF2_raising.mat,BF2_raising.mat_78.65_3440.356,78.65,3440.356,718.9749523809523,4,303.54754356931664,1
BF2_raising.mat,BF2_raising.mat_78.65_3440.356,78.65,3440.356,879.0561904761904,5,280.14292609417436,1
BF2_raising.mat,BF2_raising.mat_78.65_3440.356,78.65,3440.356,1039.1374285714287,6,300.7177623075122,1
BF2_raising.mat,BF2_raising.mat_78.65_3440.356,78.65,3440.356,1199.2186666666666,7,300.50544872269364,1
BF2_raising.mat,BF2_raising.mat_78.65_3440.356,78.65,3440.356,1359.2999047619048,8,289.901883338507,1
BF2_raising.mat,BF2_raising.mat_78.65_3440.356,78.65,3440.356,1519.381142857143,9,260.8983636751723,1
BF2_raising.mat,BF2_raising.mat_78.65_3440.356,78.65,3440.356,1679.462380952381,10,266.90742565342737,1
BF2_raising.mat,BF2_raising.mat_78.65_3440.356,78.65,3440.356,1839.5436190476191,11,272.91648763168257,1
BF2_raising.mat,BF2_raising.mat_78.65_3440.356,78.65,3440.356,1999.6248571428573,12,278.92554960993766,1
BF2_raising.mat,BF2_raising.mat_78.65_3440.356,78.65,3440.356,2159.7060952380953,13,279.0969845434207,1
BF2_raising.mat,BF2_raising.mat_78.65_3440.356,78.65,3440.356,2319.787333333333,14,237.5231950947602,1
BF2_raising.mat,BF2_raising.mat_78.65_3440.356,78.65,3440.356,2479.8685714285716,15,275.5803900596258,1
BF2_raising.mat,BF2_raising.mat_78.65_3440.356,78.65,3440.356,2639.9498095238096,16,277.2923420082803,1
BF2_raising.mat,BF2_raising.mat_78.65_3440.356,78.65,3440.356,2800.0310476190475,17,222.18330807030776,1
BF2_raising.mat,BF2_raising.mat_78.65_3440.356,78.65,3440.356,2960.112285714286,18,248.56710817778708,1
BF2_raising.mat,BF2_raising.mat_78.65_3440.356,78.65,3440.356,3120.193523809524,19,291.97400389687436,1
BF2_raising.mat,BF2_raising.mat_78.65_3440.356,78.65,3440.356,3280.274761904762,20,254.52181969973242,1
BF3_central.mat,BF3_central.mat_121.857_1217.227,121.857,1217.227,174.0174761904762,1,254.32765327654792,1
BF3_central.mat,BF3_central.mat_121.857_1217.227,121.857,1217.227,226.17795238095238,2,239.57430655309594,1
BF3_central.mat,BF3_central.mat_121.857_1217.227,121.857,1217.227,278.3384285714286,3,247.75183933843928,1
BF3_central.mat,BF3_central.mat_121.857_1217.227,121.857,1217.227,330.4989047619048,4,261.1106223036222,1
BF3_central.mat,BF3_central.mat_121.857_1217.227,121.857,1217.227,382.65938095238096,5,274.46940526880525,1
BF3_central.mat,BF3_central.mat_121.857_1217.227,121.857,1217.227,434.81985714285713,6,269.52211786879786,1
BF3_central.mat,BF3_central.mat_121.857_1217.227,121.857,1217.227,486.9803333333334,7,254.89839996891993,1
BF3_central.mat,BF3_central.mat_121.857_1217.227,121.857,1217.227,539.1408095238096,8,240.27468206904203,1
BF3_central.mat,BF3_central.mat_121.857_1217.227,121.857,1217.227,591.3012857142858,9,225.65096416916413,1
BF3_central.mat,BF3_central.mat_121.857_1217.227,121.857,1217.227,643.4617619047619,10,211.0272462692862,1
BF3_central.mat,BF3_central.mat_121.857_1217.227,121.857,1217.227,695.6222380952381,11,196.4035283694083,1
BF3_central.mat,BF3_central.mat_121.857_1217.227,121.857,1217.227,747.7827142857143,12,181.7798104695304,1
BF3_central.mat,BF3_central.mat_121.857_1217.227,121.857,1217.227,799.9431904761905,13,176.9366982600271,1
BF3_central.mat,BF3_central.mat_121.857_1217.227,121.857,1217.227,852.1036666666668,14,172.63015440889853,1
BF3_central.mat,BF3_central.mat_121.857_1217.227,121.857,1217.227,904.2641428571429,15,168.32361055776997,1
BF3_central.mat,BF3_central.mat_121.857_1217.227,121.857,1217.227,956.4246190476191,16,164.0170667066414,1
BF3_central.mat,BF3_central.mat_121.857_1217.227,121.857,1217.227,1008.5850952380953,17,159.71052285551283,1
BF3_central.mat,BF3_central.mat_121.857_1217.227,121.857,1217.227,1060.7455714285716,18,72.38916595506402,1
BF3_central.mat,BF3_central.mat_121.857_1217.227,121.857,1217.227,1112.9060476190477,19,74.27750452661279,1
BF3_central.mat,BF3_central.mat_121.857_1217.227,121.857,1217.227,1165.066523809524,20,76.16584309816156,1
BF3_fronting.mat,BF3_fronting.mat_96.242_1650.6,96.242,1650.6,170.25904761904764,1,222.0274491399334,1
BF3_fronting.mat,BF3_fronting.mat_96.242_1650.6,96.242,1650.6,244.27609523809525,2,232.04478928925732,1
BF3_fronting.mat,BF3_fronting.mat_96.242_1650.6,96.242,1650.6,318.29314285714287,3,242.06212943858128,1
BF3_fronting.mat,BF3_fronting.mat_96.242_1650.6,96.242,1650.6,392.3101904761905,4,252.07946958790524,1
BF3_fronting.mat,BF3_fronting.mat_96.242_1650.6,96.242,1650.6,466.3272380952381,5,262.0968097372292,1
BF3_fronting.mat,BF3_fronting.mat_96.242_1650.6,96.242,1650.6,540.3442857142857,6,236.26732987645707,1
BF3_fronting.mat,BF3_fronting.mat_96.242_1650.6,96.242,1650.6,614.3613333333333,7,208.64792782894605,1
BF3_fronting.mat,BF3_fronting.mat_96.242_1650.6,96.242,1650.6,688.3783809523809,8,181.02852578143504,1
BF3_fronting.mat,BF3_fronting.mat_96.242_1650.6,96.242,1650.6,762.3954285714285,9,212.92139133725757,1
BF3_fronting.mat,BF3_fronting.mat_96.242_1650.6,96.242,1650.6,836.4124761904761,10,194.67877589718117,1
BF3_fronting.mat,BF3_fronting.mat_96.242_1650.6,96.242,1650.6,910.4295238095237,11,176.4361604571048,1
BF3_fronting.mat,BF3_fronting.mat_96.242_1650.6,96.242,1650.6,984.4465714285714,12,172.90580358039895,1
BF3_fronting.mat,BF3_fronting.mat_96.242_1650.6,96.242,1650.6,1058.463619047619,13,175.56937473813494,1
BF3_fronting.mat,BF3_fronting.mat_96.242_1650.6,96.242,1650.6,1132.4806666666666,14,178.23294589587093,1
BF3_fronting.mat,BF3_fronting.mat_96.242_1650.6,96.242,1650.6,1206.4977142857142,15,166.45031403421402,1
BF3_fronting.mat,BF3_fronting.mat_96.242_1650.6,96.242,1650.6,1280.5147619047618,16,178.68441038326765,1
BF3_fronting.mat,BF3_fronting.mat_96.242_1650.6,96.242,1650.6,1354.5318095238094,17,171.95227101834587,1
BF3_fronting.mat,BF3_fronting.mat_96.242_1650.6,96.242,1650.6,1428.548857142857,18,158.0963737510261,1
BF3_fronting.mat,BF3_fronting.mat_96.242_1650.6,96.242,1650.6,1502.5659047619047,19,258.2064354903234,1
BF3_fronting.mat,BF3_fronting.mat_96.242_1650.6,96.242,1650.6,1576.5829523809523,20,415.77448011094367,1
BF3_mono.mat,BF3_mono.mat_113.87_1803.258,113.87,1803.258,194.31704761904763,1,218.71091988301183,1
BF3_mono.mat,BF3_mono.mat_113.87_1803.258,113.87,1803.258,274.76409523809525,2,216.96783976602364,1
BF3_mono.mat,BF3_mono.mat_113.87_1803.258,113.87,1803.258,355.2111428571428,3,215.22475964903543,1
BF3_mono.mat,BF3_mono.mat_113.87_1803.258,113.87,1803.258,435.65819047619044,4,247.27265130829,1
BF3_mono.mat,BF3_mono.mat_113.87_1803.258,113.87,1803.258,516.1052380952381,5,199.47417780551467,1
BF3_mono.mat,BF3_mono.mat_113.87_1803.258,113.87,1803.258,596.5522857142856,6,204.28030347284292,1
BF3_mono.mat,BF3_mono.mat_113.87_1803.258,113.87,1803.258,676.9993333333333,7,188.52639302341737,1
BF3_mono.mat,BF3_mono.mat_113.87_1803.258,113.87,1803.258,757.4463809523809,8,222.7255010608181,1
BF3_mono.mat,BF3_mono.mat_113.87_1803.258,113.87,1803.258,837.8934285714284,9,216.6795852005137,1
BF3_mono.mat,BF3_mono.mat_113.87_1803.258,113.87,1803.258,918.3404761904761,10,191.6356151332919,1
BF3_mono.mat,BF3_mono.mat_113.87_1803.258,113.87,1803.258,998.7875238095237,11,214.35863526855042,1
BF3_mono.mat,BF3_mono.mat_113.87_1803.258,113.87,1803.258,1079.2345714285711,12,221.26449100519534,1
BF3_mono.mat,BF3_mono.mat_113.87_1803.258,113.87,1803.258,1159.6816190476188,13,196.33865582199252,1
BF3_mono.mat,BF3_mono.mat_113.87_1803.258,113.87,1803.258,1240.1286666666665,14,171.41282063878964,1
BF3_mono.mat,BF3_mono.mat_113.87_1803.258,113.87,1803.258,1320.5757142857142,15,202.116246718361,1
