timestamp,prolific_id,participant_id,block,trial_index,speaker,stimulus,audio_file,friendly,professional,funny,competent,trustworthy,pleasant,human_like,dialect_region,perceived_race,perceived_age,gender_scale,age,ethnicity,dialect,first_language,other_languages,gender,speech_disorder,speech_disorder_desc,neurodivergent,neurodivergent_desc,technologies_used,ai_use_frequency,ai_attitude,attention_check_1,attention_check_2,attention_check_3,attention_check_4,attention_check_5,attention_check_6,attention_check_7,attention_check_8,attention_check_9,attention_check_10,attention_check_11,attention_check_12,attention_check_13,attention_check_14,attention_check_15,attention_check_16,attention_check_17,attention_check_18,attention_check_19,attention_check_20,attention_check_21,final_feedback,headphone_type
10/31/2025,67d9625169884c7fdecaf0a6,67d9625169884c7fdecaf0a6,Personality,14,WM1,passage,WM1_passage.mp3,3.561915888,4.914719626,5.068925234,5.412383178,4.325934579,4.690420561,4.599299065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,660cda55786e37b1cbb49717,660cda55786e37b1cbb49717,Race,41,BF4,central,BF4_central.mp3,,,,,,,,Southeastern U.S.,Black,45–54,1.684944509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,67081ef77f9b5aaceef957c0,67081ef77f9b5aaceef957c0,Demographics,,,,,,,,,,,,,,,,35–44,Black American,Southeastern U.S.,English,,Male,No,,No,,ChatGPT Voice Assistant; Voice-based navigation apps,Several times per day,7,black,10,24,player,6,arm,110,19,cheap,12,h,pineapple,10,8,water,2,28,top,9,12,steal,,Xiaomi Buds 3
10/31/2025,672451c5f4e558e08242d746,672451c5f4e558e08242d746,Race,53,BM7,raising,BM7_raising.mp3,,,,,,,,Southeastern U.S.,White,25–34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,6838df8389ee2a2823f6964a,6838df8389ee2a2823f6964a,Race,22,WF6,raising,WF6_raising.mp3,,,,,,,,Northeastern U.S.,White,35–44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,67178054a368314e6afa5ed4,67178054a368314e6afa5ed4,Race,21,WM7,fronting,WM7_fronting.mp3,,,,,,,,Northeastern U.S.,White,35–44,4.963385465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,665e2d0a6eba582f0b13ce9b,665e2d0a6eba582f0b13ce9b,Personality,14,BM1,passage,BM1_passage.mp3,5.725291829,4.063035019,1.345525292,7,7,5.795330739,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,660cda55786e37b1cbb49717,660cda55786e37b1cbb49717,Race,42,BF6,mono,BF6_mono.mp3,,,,,,,,Northeastern U.S.,Latino/Hispanic,25–34,5.679066881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,672451c5f4e558e08242d746,672451c5f4e558e08242d746,Race,54,BF7,mono,BF7_mono.mp3,,,,,,,,Southeastern U.S.,White,35–44,1.001909612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,67574d2fa6c77a56709e95a8,67574d2fa6c77a56709e95a8,Race,37,BF4,mono,BF4_mono.mp3,,,,,,,,Southeastern U.S.,Black,25–34,1.627336449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,67178054a368314e6afa5ed4,67178054a368314e6afa5ed4,Race,22,BM7,fronting,BM7_fronting.mp3,,,,,,,,Northwestern U.S.,Black,25–34,6.270469181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,67a8bfb2f846cd3ea9bcd898,67a8bfb2f846cd3ea9bcd898,Race,4,WM3,mono,WM3_mono.mp3,,,,,,,,Northeastern U.S.,White,35–44,4.861478599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,660cda55786e37b1cbb49717,660cda55786e37b1cbb49717,Race,43,BF6,central,BF6_central.mp3,,,,,,,,Non-American,Black,35–44,1.922824182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,661b3299bf19db77d7412b86,661b3299bf19db77d7412b86,Personality,7,BF1,passage,BF1_passage.mp3,3.99566999,7,1,7,7,4.881181877,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,672451c5f4e558e08242d746,672451c5f4e558e08242d746,Race,55,WM5,raising,WM5_raising.mp3,,,,,,,,Southeastern U.S.,White,25–34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,67574d2fa6c77a56709e95a8,67574d2fa6c77a56709e95a8,Race,38,BM1,mono,BM1_mono.mp3,,,,,,,,Southeastern U.S.,Black,25–34,6.744158879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,67178054a368314e6afa5ed4,67178054a368314e6afa5ed4,Race,23,BF7,central,BF7_central.mp3,,,,,,,,Southeastern U.S.,Latino/Hispanic,35–44,3.32649494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,6838df8389ee2a2823f6964a,6838df8389ee2a2823f6964a,Race,23,WF5,mono,WF5_mono.mp3,,,,,,,,Northeastern U.S.,White,25–34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,660cda55786e37b1cbb49717,660cda55786e37b1cbb49717,Race,44,BM4,mono,BM4_mono.mp3,,,,,,,,Northwestern U.S.,Black,35–44,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,672451c5f4e558e08242d746,672451c5f4e558e08242d746,Race,56,WM3,fronting,WM3_fronting.mp3,,,,,,,,Northwestern U.S.,White,35–44,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,67178054a368314e6afa5ed4,67178054a368314e6afa5ed4,Race,24,BM6,mono,BM6_mono.mp3,,,,,,,,Northwestern U.S.,Latino/Hispanic,18–24,5.181140754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,67574d2fa6c77a56709e95a8,67574d2fa6c77a56709e95a8,Race,39,BM6,fronting,BM6_fronting.mp3,,,,,,,,Northeastern U.S.,Asian,25–34,5.917056075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,65b1193868f3449f46325ea8,65b1193868f3449f46325ea8,Personality,9,BF4,passage,BF4_passage.mp3,5.74182243,6.982476636,1.143691589,6.996495327,7,6.996495327,5.734813084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,5d453e8723a5bb0001492546,5d453e8723a5bb0001492546,Personality,15,WM2,passage,WM2_passage.mp3,3.975409836,4.846604215,1,4.87470726,3.12529274,6.610070258,4.860655738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,67d9ef30fe8af2858e8dbbd3,67d9ef30fe8af2858e8dbbd3,Personality,16,WF1,passage,WF1_passage.mp3,7,7,6.575558237,7,3.992413599,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
